codepoint,character,name
1CE60,𜹠,SEPARATED BLOCK SEXTANT-5
1CE61,𜹡,SEPARATED BLOCK SEXTANT-15
1CE62,𜹢,SEPARATED BLOCK SEXTANT-25
1CE63,𜹣,SEPARATED BLOCK SEXTANT-125
1CE64,𜹤,SEPARATED BLOCK SEXTANT-35
1CE65,𜹥,SEPARATED BLOCK SEXTANT-135
1CE66,𜹦,SEPARATED BLOCK SEXTANT-235
1CE67,𜹧,SEPARATED BLOCK SEXTANT-1235
1CE68,𜹨,SEPARATED BLOCK SEXTANT-45
1CE69,𜹩,SEPARATED BLOCK SEXTANT-145
1CE6A,𜹪,SEPARATED BLOCK SEXTANT-245
1CE6B,𜹫,SEPARATED BLOCK SEXTANT-1245
